position,n_variants,is_variable,syn_changes,nonsyn_changes,total_changes
1,1,False,0,0,0
2,1,False,0,0,0
3,1,False,0,0,0
4,4,True,1,1,2
5,4,True,0,1,1
6,1,False,0,0,0
7,2,True,1,0,1
8,1,False,0,0,0
9,1,False,0,0,0
10,1,False,0,0,0
11,2,True,1,0,1
12,1,False,0,0,0
13,1,False,0,0,0
14,1,False,0,0,0
15,2,True,0,1,1
16,2,True,0,1,1
17,2,True,0,1,1
18,1,False,0,0,0
19,1,False,0,0,0
20,1,False,0,0,0
21,1,False,0,0,0
22,2,True,1,0,1
23,1,False,0,0,0
24,2,True,0,1,1
25,1,False,0,0,0
26,2,True,1,0,1
27,1,False,0,0,0
28,1,False,0,0,0
29,1,False,0,0,0
30,1,False,0,0,0
31,1,False,0,0,0
32,3,True,0,1,1
33,3,True,1,1,2
34,1,False,0,0,0
35,1,False,0,0,0
36,1,False,0,0,0
37,1,False,0,0,0
38,1,False,0,0,0
39,1,False,0,0,0
40,1,False,0,0,0
41,1,False,0,0,0
42,1,False,0,0,0
43,2,True,0,1,1
44,1,False,0,0,0
45,2,True,0,1,1
46,2,True,0,1,1
47,2,True,0,1,1
48,2,True,1,0,1
49,1,False,0,0,0
50,2,True,0,1,1
51,1,False,0,0,0
52,2,True,0,1,1
53,3,True,1,1,2
54,2,True,0,1,1
55,1,False,0,0,0
56,1,False,0,0,0
57,2,True,1,0,1
58,1,False,0,0,0
59,1,False,0,0,0
60,2,True,1,0,1
61,2,True,1,0,1
62,2,True,1,0,1
63,2,True,0,1,1
64,1,False,0,0,0
65,1,False,0,0,0
66,1,False,0,0,0
67,1,False,0,0,0
68,1,False,0,0,0
69,1,False,0,0,0
70,2,True,0,1,1
71,1,False,0,0,0
72,3,True,1,1,2
73,2,True,1,0,1
74,2,True,0,1,1
75,2,True,0,1,1
76,1,False,0,0,0
77,2,True,0,1,1
78,1,False,0,0,0
79,1,False,0,0,0
80,1,False,0,0,0
81,2,True,0,1,1
82,2,True,0,1,1
83,1,False,0,0,0
84,2,True,0,1,1
85,2,True,0,1,1
86,1,False,0,0,0
87,1,False,0,0,0
88,1,False,0,0,0
89,1,False,0,0,0
90,3,True,1,1,2
91,2,True,0,1,1
92,1,False,0,0,0
93,5,True,1,1,2
94,1,False,0,0,0
95,3,True,0,1,1
96,2,True,1,0,1
97,2,True,0,1,1
98,2,True,1,0,1
99,1,False,0,0,0
100,1,False,0,0,0
101,2,True,0,1,1
102,1,False,0,0,0
103,2,True,1,0,1
104,2,True,1,0,1
105,1,False,0,0,0
106,2,True,1,0,1
107,1,False,0,0,0
108,2,True,1,0,1
109,1,False,0,0,0
110,3,True,1,0,1
111,3,True,0,1,1
112,1,False,0,0,0
113,1,False,0,0,0
114,2,True,1,0,1
115,4,True,1,1,2
116,3,True,0,1,1
117,1,False,0,0,0
118,1,False,0,0,0
119,3,True,0,1,1
120,2,True,1,0,1
121,2,True,0,1,1
122,2,True,0,1,1
123,4,True,1,1,2
124,3,True,0,1,1
125,1,False,0,0,0
126,2,True,1,0,1
127,4,True,1,1,2
128,6,True,1,1,2
129,2,True,0,1,1
130,2,True,1,0,1
131,2,True,1,0,1
132,2,True,0,1,1
133,4,True,1,1,2
134,1,False,0,0,0
135,2,True,1,0,1
136,1,False,0,0,0
137,1,False,0,0,0
138,1,False,0,0,0
139,2,True,1,0,1
140,1,False,0,0,0
141,3,True,1,1,2
142,1,False,0,0,0
143,1,False,0,0,0
144,2,True,0,1,1
145,1,False,0,0,0
146,2,True,0,1,1
147,1,False,0,0,0
148,1,False,0,0,0
149,1,False,0,0,0
150,1,False,0,0,0
151,1,False,0,0,0
152,2,True,1,0,1
153,2,True,0,1,1
154,1,False,0,0,0
155,1,False,0,0,0
156,1,False,0,0,0
157,1,False,0,0,0
158,1,False,0,0,0
159,2,True,1,0,1
160,2,True,0,1,1
161,1,False,0,0,0
162,1,False,0,0,0
163,1,False,0,0,0
164,3,True,0,1,1
165,4,True,1,1,2
166,1,False,0,0,0
167,3,True,1,1,2
168,2,True,0,1,1
169,1,False,0,0,0
170,1,False,0,0,0
171,1,False,0,0,0
172,1,False,0,0,0
173,1,False,0,0,0
174,1,False,0,0,0
175,4,True,1,1,2
176,2,True,1,0,1
177,2,True,1,0,1
178,3,True,1,1,2
179,2,True,0,1,1
180,1,False,0,0,0
181,1,False,0,0,0
182,1,False,0,0,0
183,1,False,0,0,0
184,1,False,0,0,0
185,1,False,0,0,0
186,1,False,0,0,0
187,3,True,1,0,1
188,1,False,0,0,0
189,1,False,0,0,0
190,2,True,0,1,1
191,2,True,1,0,1
192,2,True,0,1,1
193,1,False,0,0,0
194,2,True,1,0,1
195,2,True,0,1,1
196,1,False,0,0,0
197,1,False,0,0,0
198,2,True,0,1,1
199,2,True,0,1,1
200,1,False,0,0,0
201,1,False,0,0,0
202,3,True,1,1,2
203,5,True,1,1,2
204,1,False,0,0,0
205,1,False,0,0,0
206,1,False,0,0,0
207,2,True,0,1,1
208,2,True,1,0,1
209,3,True,1,0,1
210,1,False,0,0,0
211,2,True,0,1,1
212,1,False,0,0,0
213,1,False,0,0,0
214,1,False,0,0,0
215,1,False,0,0,0
216,1,False,0,0,0
217,1,False,0,0,0
218,2,True,0,1,1
219,2,True,1,0,1
220,1,False,0,0,0
221,3,True,0,1,1
222,2,True,1,0,1
223,2,True,0,1,1
224,4,True,1,1,2
225,2,True,0,1,1
226,3,True,0,1,1
227,2,True,1,0,1
228,1,False,0,0,0
229,1,False,0,0,0
230,1,False,0,0,0
231,1,False,0,0,0
232,1,False,0,0,0
233,3,True,0,1,1
234,2,True,1,0,1
235,2,True,1,0,1
236,2,True,1,0,1
237,2,True,1,0,1
238,1,False,0,0,0
239,2,True,1,0,1
240,1,False,0,0,0
241,1,False,0,0,0
242,1,False,0,0,0
243,2,True,1,0,1
244,1,False,0,0,0
245,4,True,1,1,2
246,1,False,0,0,0
247,1,False,0,0,0
248,3,True,0,1,1
249,1,False,0,0,0
250,2,True,0,1,1
251,1,False,0,0,0
252,2,True,0,1,1
253,2,True,1,0,1
254,2,True,1,0,1
255,1,False,0,0,0
256,2,True,1,0,1
257,1,False,0,0,0
258,1,False,0,0,0
259,1,False,0,0,0
260,2,True,0,1,1
261,1,False,0,0,0
262,2,True,0,1,1
263,3,True,0,1,1
264,2,True,1,0,1
265,2,True,0,1,1
266,1,False,0,0,0
267,1,False,0,0,0
268,1,False,0,0,0
269,1,False,0,0,0
270,1,False,0,0,0
271,1,False,0,0,0
272,3,True,1,0,1
273,2,True,1,0,1
274,1,False,0,0,0
275,1,False,0,0,0
276,1,False,0,0,0
277,2,True,1,0,1
278,1,False,0,0,0
279,3,True,1,1,2
280,1,False,0,0,0
281,1,False,0,0,0
282,2,True,1,0,1
283,2,True,0,1,1
284,1,False,0,0,0
285,2,True,0,1,1
286,3,True,1,1,2
287,1,False,0,0,0
288,2,True,1,0,1
289,2,True,0,1,1
290,2,True,0,1,1
291,2,True,1,0,1
