position	match	mismatch	gap	coverage
1	8209	0	0	8209
2	8209	0	0	8209
3	8210	0	0	8210
4	8209	1	0	8210
5	8210	0	0	8210
6	8210	0	0	8210
7	8210	0	0	8210
8	8210	0	0	8210
9	8210	0	0	8210
10	8210	0	0	8210
11	8210	0	0	8210
12	8210	0	0	8210
13	8210	0	0	8210
14	8210	0	0	8210
15	8210	0	0	8210
16	8209	1	0	8210
17	8210	0	0	8210
18	8210	0	0	8210
19	8210	0	0	8210
20	8210	0	0	8210
21	8204	6	0	8210
22	8210	0	0	8210
23	8209	1	0	8210
24	8210	0	0	8210
25	7428	782	0	8210
26	8210	0	0	8210
27	8201	9	0	8210
28	8210	0	0	8210
29	8210	0	0	8210
30	8210	0	0	8210
31	8210	0	0	8210
32	8208	2	0	8210
33	8209	1	0	8210
34	8210	0	0	8210
35	8210	0	0	8210
36	8210	0	0	8210
37	8210	0	0	8210
38	8210	0	0	8210
39	8210	0	0	8210
40	8210	0	0	8210
41	8210	0	0	8210
42	8210	0	0	8210
43	8210	0	0	8210
44	8210	0	0	8210
45	8210	0	0	8210
46	8210	0	0	8210
47	8210	0	0	8210
48	8206	4	0	8210
49	8209	1	0	8210
50	8210	0	0	8210
51	8210	0	0	8210
52	8210	0	0	8210
53	8210	0	0	8210
54	8210	0	0	8210
55	8210	0	0	8210
56	8210	0	0	8210
57	8210	0	0	8210
58	8210	0	0	8210
59	8210	0	0	8210
60	8210	0	0	8210
61	8210	0	0	8210
62	8210	0	0	8210
63	8210	0	0	8210
64	8210	0	0	8210
65	8209	1	0	8210
66	8208	2	0	8210
67	8210	0	0	8210
68	8210	0	0	8210
69	8210	0	0	8210
70	8210	0	0	8210
71	8210	0	0	8210
72	8210	0	0	8210
73	8210	0	0	8210
74	8210	0	0	8210
75	4761	3449	0	8210
76	8210	0	0	8210
77	8209	1	0	8210
78	8210	0	0	8210
79	8209	1	0	8210
80	8210	0	0	8210
81	8210	0	0	8210
82	8209	1	0	8210
83	8210	0	0	8210
84	8210	0	0	8210
85	8210	0	0	8210
86	8182	28	0	8210
87	8210	0	0	8210
88	8210	0	0	8210
89	8210	0	0	8210
90	8210	0	0	8210
91	8205	5	0	8210
92	8210	0	0	8210
93	8210	0	0	8210
94	8210	0	0	8210
95	8210	0	0	8210
96	8210	0	0	8210
97	8210	0	0	8210
98	8210	0	0	8210
99	7909	301	0	8210
100	8209	1	0	8210
101	8210	0	0	8210
102	8210	0	0	8210
103	8210	0	0	8210
104	8210	0	0	8210
105	8210	0	0	8210
106	8210	0	0	8210
107	8210	0	0	8210
108	8210	0	0	8210
109	8210	0	0	8210
110	8210	0	0	8210
111	8032	178	0	8210
112	8210	0	0	8210
113	8210	0	0	8210
114	8100	110	0	8210
115	8210	0	0	8210
116	8210	0	0	8210
117	8210	0	0	8210
118	8210	0	0	8210
119	8210	0	0	8210
120	8210	0	0	8210
121	8210	0	0	8210
122	8209	1	0	8210
123	7946	264	0	8210
124	8210	0	0	8210
125	8210	0	0	8210
126	8210	0	0	8210
